Block Name,P000,P000 Type,P000 Default,P001,P001 Type,P001 Default,P002,P002 Type,P002 Default,P003,P003 Type,P003 Default,P004,P004 Type,P004 Default,P005,P005 Type,P005 Default,P006,P006 Type,P006 Default,P007,P007 Type,P007 Default,P008,P008 Type,P008 Default,P009,P009 Type,P009 Default,P010,P010 Type,P010 Default,P011,P011 Type,P011 Default,P012,P012 Type,P012 Default,P013,P013 Type,P013 Default,P014,P014 Type,P014 Default,P015,P015 Type,P015 Default,P016,P016 Type,P016 Default,P017,P017 Type,P017 Default,P018,P018 Type,P018 Default,P019,P019 Type,P019 Default
BITSET,"Datatype (3=int32, 4=int16, 5=int8)",integer,3,Index of bit (0 is least significant),integer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUNCE,Mass,vector of doubles,[1;1;],Radius,vector of doubles,[1;1],"[xmin,xmax,ymin,ymax]",vector of doubles,[0;5;0;5],xpos,vector of doubles,[2;2.5],xdpos,vector of doubles,[0;0],ypos,vector of doubles,[3;5],ydpos,vector of doubles,[0;0],g(gravity),double,9.81,C(aerodynamic coeff),double,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUNCEXY,colors,vector of doubles,[1;2],radii,vector of doubles,[1;1],window number( -1 for automatic),double,-1,"animation mode(0,1)",double,1,Xmin,double,-5,Xmax,double,5,Ymin,double,0,Ymax,double,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPLATFORM,pendulum length,double,2,cart size (square side),double,2,slope,double,0,Xmin,double,-5,Xmax,double,5,Ymin,double,0,Ymax,double,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_block,input ports sizes,double,1,output port sizes,double,1,System parameters vector,vector of doubles,[],function name,string,toto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANIMXY,Number of curves,double,1,Curves styles: colors>0 | marks <0,double,-4,Curves thicknesses | marks sizes,double,1,Output window number,double,-1,Output window position,vector of doubles,[],Output window sizes,vector of doubles,[],Xmin,double,-15,Xmax,double,15,Ymin,double,-15,Ymax,double,15,Buffer size,double,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANIMXY3D,Number of curves,double,1,color(>0) or mark(<0),double,1 2 3 4 5 6 7 13,line or mark size,double,1 1 1 1 1 1 1 1,Output window number,double,-1,Output window position,vector of doubles,[],Output window sizes,vector of doubles,[],Xmin and Xmax,double,-15 15,Ymin and Ymax,double,-15 15,Zmin and Zmax,double,-15 15,Alpha and Theta,double,50 280,Buffer size,double,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capacitor,C(F),double,0.01,Initial Voltage,integer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBLOCK,Simulation function,string,toto,"Is block implicit (y, n)",yesno,n,Input ports sizes,integer,1,Output ports sizes,integer,1,"Input event ports sizes ([], 1)",vector of integers,[],"Output events ports sizes ([], 1)",vector of integers,[],Initial continuous state,vector of integers,[],Number of zero-crossings,integer,0,Initial discrete state,vector of integers,[],Real parameters vector,vector of doubles,[],Integer parameters vector,vector of integers,[],Initial firing vector (<0 for no firing),vector of integers,[],"Direct feedthrough (y, n)",yesno,y,"Time dependence (y, n)",yesno,n,,,,,,,,,,,,,,,,,,
CBLOCK4,Simulation function,string,toto,"Is block implicit (y, n)",yesno,n,Input ports sizes,vector of integers,"[1,1]",Input ports type,integer,1,Output ports sizes,vector of integers,"[1,1]",Output ports type,integer,1,"Input event ports sizes ([], 1)",vector of integers,[],"Output events ports sizes ([], 1)",vector of integers,[],Initial continuous state,vector of doubles,[],Initial discrete state,vector of doubles,[],Initial object state,string,list(),Real parameters vector,vector of doubles,[],Integer parameters vector,vector of integers,[],Object paramters list,string,list(),Number of modes,integer,0,Number of zero-crossings,integer,0,Initial firing vector (<0 for no firing),vector of integers,[],"Direct feedthrough (y, n)",yesno,y,"Time dependence (y, n)",yesno,n,,,
CCS,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEVENTSCOPE,Number of event inputs,integer,1,color(>0) or mark(<0),integer,1,Output window number,integer,-1,Output window position,vector of integers,[],Output window size,vector of integers,[600;400],Refresh period,integer,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFSCOPE,Curves style: colors>0 | marks<0,vector of integers,1 3 5 7 9 11 13 15,Output window number,integer,-1,Output window position,vector of doubles,[],Output window sizes,vector of doubles,[600;400],Ymin,double,-15,Ymax,double,15,Refresh period,double,30,Buffer size,double,2,Links to view,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLINDUMMY_f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLKFROM,Tag,string,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLKGOTO,Tag,string,A,"Tag Visibility(1=Local, 2=Scoped, 3=Global)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLKGotoTagVisibility,GoToTag,string,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLKINV_f,Port Number,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLKOUTV_f,Port Number,integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLKSOMV_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOCK_c,Period,double,0.1,Initialisation Time,double,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLR,Numerator,double,1,Denominator,double,1+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLSS,A matrix,double,-1,B matrix,double,1,C matrix,double,1,D matrix,double,0,initial state,double,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMAT3D,Bounds vector X,double,-1,Bounds vector Y,double,-1,ColorMap,vector of integers,jetcolormap(25),Zmin,double,0,Zmax,double,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMATVIEW,ColorMap,vector of integers,jetcolormap(25),Minimum level range,double,0,Maximum level range,double,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSCOPE,Input ports size,vector of doubles,1 1,Drawing colors or mark,vector of doubles,1 3 5 7 9 11 13 15,Output window number,double,-1,Output window position,vector of doubles,[],Output window sizes,vector of doubles,[],Ymin vector,double,-1 -5,Ymax vector,double,1 5,Refresh Period,double,30 30,Buffer size,double,20,Accept herited events,boolean,0,Name of scope,string,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONST,Constant,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONST_f,Constant,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONST_m,Constant value,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConstantVoltage,V(volt),double,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTRAINT_c,Initial guess values,double,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSTRAINT2_c,Initial guess values of state x,double,0,Initial guess values of derivative x',double,0,"Id(i)=1: If x'(i) is present in the feedback, else Id(i)=0",boolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVERT,"Input type (1:double, 3:int32, 4:int16, 5:int8,..)",integer,1,"Output type  (1:double, 3:int32, 4:int16, 5:int8,..)",integer,3,"Do on overflow( 0:Nothing, 1:Saturate, 2:Error)",integer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSBLK_f,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter,Minimum,double,0,Maximum,double,2,"Rule( 1:increment, 2:Decrement)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCOPE,Color(>0) or mark(<0)vector(8 entries),vector of doubles,1 3 5 7 9 11 13 15,Output window number,double,-1,Output window position,vector of doubles,[],Output window sizes,vector of doubles,[600;400],Ymin,double,-15,Ymax,double,15,Refresh period,double,30,Buffer size,double,20,Accept herited events 0/1,boolean,0,Name of scope,string,Empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCOPXY,Number of curves,double,1,color(>0) or mark(<0),double,4,line or mark size,double,1,Output window number,double,-1,Output window position,vector of doubles,[],Output window size,vector of doubles,[600;400],Xmin,double,-15,Xmax,double,15,Ymin,double,-15,Ymax,double,15,Buffer size,double,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCOPXY3D,Number of curves,double,1,color(>0) or mark(<0),double,1 2 3 4 5 6 7 13,line or mark size,double,1 1 1 1 1 1 1 1,Output window number,double,-1,Output window position,vector of doubles,[],Output window size,vector of doubles,[600;400],Xmin and Xmax,double,-15 15,Ymin and Ymax,double,-15 15,Zmin and Zmax,double,-15 15,Alpha and Theta,double,50 280,Buffer size,double,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMSUM,"Datatype (1=real double, 2=complex)",integer,1,"Sum along (0=the first non singleton dimension, 1=rows, 2=columns)  ",integer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CurrentSensor,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CURV_f,xmin,double,,xmax,double,,ymin,double,,ymax,double,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVS,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEADBAND,End of dead band,double,0.5,Start of dead band,double,-0.5,"zero crossing (0:no, 1:yes)",boolean,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBUG,"Enter scilab instructions for debugging. Inputs are block and flag, output is block",string,"xcos_debug_gui(flag,block);",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAY_f,Discretization time step,double,0.1,Register initial state,vector of integers,0;0;0;0;0;0;0;0;0;0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAYV_f,Number of inputs,integer,1,Register initial condition,vector of integers,0;0;0;0;0;0;0;0;0;0,Max delay,integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMUX,number of output ports or vector of sizes,integer,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMUX_f,number of output ports or vector of sizes,integer,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DERIV,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFLIPFLOP,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIFF_f,Initial state,double,0,Initial Derivative,double,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diode,Saturation current (A),double,0.000001,Voltage equivalent to temperature (Volt),double,0.04,Max exponent for linear continuation,double,15,R (ohm),double,100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLATCH,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLR,Numerator (z),double,1,Denominator (z),double,1+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLRADAPT_f,Vector of p mesh points,vector of integers,[0;1],Numerator roots (one line for each mesh),vector of integers,[],Denominator roots (one line for each mesh),vector of integers,"[0.2+%i*0.8,0.2-%i*0.8;0.3+%i*0.7,0.3-%i*0.7]",Vector of gain at mesh points,vector of integers,[1;1],past inputs (Num degree values),vector of integers,[],past outputs (Den degree values),vector of integers,[0;0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLSS,A matrix,integer,-1,B matrix,integer,1,C matrix,integer,1,D matrix,integer,0,Initial state,integer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOLLAR,initial condition,integer,0,"Inherit (no:0, yes:1)",boolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOLLAR_f,initial condition,integer,0,"Inherit (no:0, yes:1)",boolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOLLAR_m,initial condition,integer,0,"Inherit (no:0, yes:1)",boolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE_TRIGGER,"rising(1), falling(-1), both(0)",integer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END_c,Final simulation time,double,100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDBLK,Final simulation time,double,1.00E+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESELECT_f,Number of output event ports,integer,2,"Inherit (0=yes, 1=no)",boolean,1,"Use zero-crossing (0=no, 1=yes)",boolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDLY_c,Delay,double,0.1,Date of initial output event,integer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTGEN_f,Event Time,integer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTVARDLY,Initial event firing time (<0 if absent),integer,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPBLK_m,a (>0),double,%e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESSION,number of inputs,integer,2,scilab expression,string,(u1>0)*sin(u2)^2,"use zero-crossing (0:no, 1 yes)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTRACT,Datatype (1=real double 2=Complex),integer,1,Lines to extract,vector of integers,1,Columns to extract,vector of integers,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extract_Activation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTRACTBITS,"Data Type (3:int32, 4:int16, 5:int8, ...)",integer,3,Bits to extract,integer,1,Number of Bits or Index of Bit,vector of integers,0,"Treat Bit Field as an Integer (0:No, 1:Yes)",boolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTRACTOR,indices to extract,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXTTRI,Datatype (1=real double 2=Complex),integer,1,extraction type (1=lower 2=upper 3=diagonal),integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flowmeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fortran_block,input ports sizes,double,1,output port sizes,double,1,System parameters vector,vector of doubles,[],function name,string,forty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq_div,Phase (0 to division factor -1),integer,0,Division factor,integer,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROM,Tag,string,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROMMO,Tag,string,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROMWSB,Variable name,string,V,Interpolation Method,integer,1,"Enable zero crossing (0:No, 1:Yes)?",boolean,1,"Output at end (0:Zero, 1:Hold, 2:Repeat)",integer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAIN_f,Gain,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAINBLK,Gain,double,1,Do On Overflow (0=Nothing 1=Saturate 2=Error),integer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAINBLK_f,Gain,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENERAL_f,Input size,integer,1,Number of event output,integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
generic_block3,Simulation function,string,sinblk,"Function type (0,1,2,..)",double,4,Input ports sizes,vector of doubles,"[1,1]",Input ports type,double,1,Output port sizes,vector of doubles,"[1,1]",Output ports type,double,1,Input event ports sizes,vector of doubles,[],Output events ports sizes,vector of doubles,[],Initial continuous state,vector of doubles,[],Initial discrete state,vector of doubles,[],Initial object state,vector of doubles,list(),Real parameters vector,vector of doubles,[],Integer parameters vector,vector of doubles,[],Object parameters list,vector of doubles,list(),Number of modes,double,0,Number of zero crossings,double,0,Initial firing vector (<0 for no firing),double,[],Direct feedthrough (y or n),yesno,y,Time dependence (y or n),yesno,n,,,
GENSIN_f,Magnitude,double,1,Frequency (rad/s),double,1,Phase (rad),double,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENSQR_f,Amplitude,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTO,Tag,string,A,Tag Visibility (1=Local 2=scoped 3=global),integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTOMO,Tag,string,A,Tag Visibility (1=Local 2=scoped 3=global),integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GotoTagVisibility,GotoTag,string,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GotoTagVisibilityMO,GotoTag,string,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ground,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gyrator,G1,double,1,G2,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALT_f,State on halt,integer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYSTHERESIS,switch on at,integer,1,switch off at,integer,0,output when on,integer,1,output when off,integer,0,use zero crossing,boolean,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IdealTransformer,N,double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFTHEL_f,"Inherit (0=yes, 1=no)",boolean,1,"Use zero-crossing (0=no, 1=yes)",boolean,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN_f,Port number,integer,1,"Output size ([-1,-2] for inherit)",vector of doubles,[-1 -2],Output type (-1 for inherit),double,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inductor,L(H),double,0.00001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INIMPL_f,Port Number,integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTEGRAL_f,Initial state,double,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTEGRAL_m,Initial condition,double,0,with re-initialization,boolean,0,with saturation,boolean,0,Upper limit,double,1,Lower limit,double,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTMUL,"Data Type (3:int32, 4:int16, 5:int8,..)",integer,3,"Do on Overflow (0:Nothing, 1:Saturate, 2:Error)",integer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTRP2BLK_f,X coord,vector of integers,[0;1],Y coord,vector of integers,[0;1],Z values,vector of integers,"[0,1;1,2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTRPLBLK_f,X coord,vector of integers,[0;1],Y coord,vector of integers,[0;1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVBLK,error on divide by zero (1:yes) (0:no),double,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISELECT_m,Datatype (1=real double 2=Complex 3=int32...),double,1,number of outputs,double,2,initial connected output,integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JKFLIPFLOP,Initial Value,string,int8(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOGBLK_f,Basis(>1),double,%e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOGIC,Truth Table (matrix of outputs),vector of integers,[0;0;0;1],"Accepts Inherited Events (0:No, 1:Yes)",boolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOGICAL_OP,Number of inputs,integer,2,"Operator code (0=AND, 1=OR, 2=NAND, 3=NOR, 4=XOR, 5=NOT)",integer,0,"Datatype (1=double, 3=int32)",double,1,"Bitwise rule (0=no, 1=yes)",boolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOOKUP_f,xmin,double,-2.4,xmax,double,2.4,ymin,double,-1.2,ymax,double,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_freq,Sample time,vector of doubles,[1;2],Offset,vector of doubles,[0;0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_SWITCH,number of inputs,double,2,"zero base indexing (0), otherwise 1",boolean,1,"rounding rule : int(0),round (1), ceil (2), floor (3)  ",integer,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATBKSL,"Datatype (1=real double, 2=complex)",integer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
