Block Names,Display Label,Explicit Input Ports,Implicit Input Ports,Control Ports,Explicit Output Ports,Implicit Output Ports,Command Ports,Display Parameter,Simulation Function,Variable Explicit Input Ports,Variable Implicit Input Ports,Variable Control Ports,Variable Explicit Output Ports,Variable Implicit Output Ports,Variable Command Ports,Variable Display Parameter
MATCATH,,2,0,0,1,0,0,,mat_cath,ScilabString[exprs] -> data[0][0],,,,,,
MATCATV,,2,0,0,1,0,0,,mat_catv,ScilabString[exprs] -> data[0][0],,,,,,
MATDET,,1,0,0,1,0,0,,mat_det,,,,,,,
MATDIAG,,1,0,0,1,0,0,,mat_diag,,,,,,,
MATDIV,,2,0,0,1,0,0,,mat_div,,,,,,,
MATEIG,,1,0,0,1,0,0,,mat_vps,,,,ScilabString[exprs] -> data[1][0],,,
MATEXPM,,1,0,0,1,0,0,,mat_expm,,,,,,,
MATINV,,1,0,0,1,0,0,,mat_inv,,,,,,,
MATLU,,1,0,0,2,0,0,,mat_lu,,,,,,,
MATMAGPHI,,1,0,0,2,0,0,,matz_abs,ScilabString[exprs] -> data[0][0],,,3 - ScilabString[exprs] -> data[0][0],,,
MATMUL,,2,0,0,1,0,0,,matmul_m,,,,,,,
MATPINV,,1,0,0,1,0,0,,mat_pinv,,,,,,,
MATRESH,,1,0,0,1,0,0,,mat_reshape,,,,,,,
MATSING,,1,0,0,1,0,0,,mat_sing,,,,3 if (ScilabString[exprs] -> data[0][0]) == '2' else 1,,,
MATSUM,,1,0,0,1,0,0,,mat_sum,,,,,,,
MATTRAN,,1,0,0,1,0,0,,mattran_m,,,,,,,
MATZCONJ,,1,0,0,1,0,0,,matz_conj,,,,,,,
MATZREIM,,1,0,0,2,0,0,,matz_reim,ScilabString[exprs] -> data[0][0],,,3 - ScilabString[exprs] -> data[0][0],,,
MAX_f,,1,0,0,1,0,0,,maxblk,,,,,,,
MAXMIN,MIN / MAX<BR>%s,2,0,0,1,0,0,MAX,minmax,ScilabString[exprs] -> data[1][0],,,,,,maxminformat(parameters[0])
MBLOCK,,0,1,0,1,1,0,,cscope,,,,,,,
MCLOCK_f,,0,0,0,0,0,2,,csuper,,,,,,,
MFCLCK_f,,0,0,1,0,0,2,,mfclck,,,,,,,
MIN_f,,1,0,0,1,0,0,,minblk,,,,,,,
Modulo_Count,Counter<BR>Modulo %s,0,0,1,1,0,0,3,modulo_count,,,,,,,parameters[1]
MUX,,2,0,0,1,0,0,,multiplex,ScilabString[exprs] -> data[0][0],,,,,,
MUX_f,,2,0,0,1,0,0,,mux,ScilabString[exprs] -> data[0][0],,,,,,
NEGTOPOS_f,,1,0,0,0,0,1,,zcross,,,,,,,
NMOS,,0,1,0,0,3,0,,NMOS,,,,,,,
NPN,,0,1,0,0,2,0,,NPN,,,,,,,
NRMSOM_f,,2,0,0,1,0,0,,junk,ScilabString[exprs] -> data[0][0],,,,,,
OpAmp,,0,2,0,0,1,0,,OpAmp,,,,,,,
OUT_f,%s,1,0,0,0,0,0,1,output,,,,,,,parameters[0]
OUTIMPL_f,%s,0,1,0,0,0,0,1,outimpl,,,,,,,parameters[0]
PDE,,5,0,0,2,0,0,,cscope,,,,,,,
PerteDP,,0,1,0,0,1,0,,PerteDP,,,,,,,
PID,,1,0,0,1,0,0,,csuper,,,,,,,
PMOS,,0,0,0,0,3,0,,PMOS,,,,,,,
PNP,,0,1,0,0,2,0,,PNP,,,,,,,
POSTONEG_f,,1,0,0,0,0,1,,zcross,,,,,,,
PotentialSensor,,0,1,0,1,0,0,,PotentialSensor,,,,,,,
POWBLK_f,u^%s,1,0,0,1,0,0,1.5,powblk,,,,,,,parameters[0]
PROD_f,,2,0,0,1,0,0,,prod,,,,,,,
PRODUCT,,2,0,0,1,0,0,,product,len(ScilabString[exprs] -> data[0][0]),,,,,,
PuitsP,,0,1,0,0,0,0,,Puits,,,,,,,
PULSE_SC,,0,0,0,1,0,0,,csuper,,,,,,,
QUANT_f,,1,0,0,1,0,0,,qzrnd,,,,,,,
RAMP,,0,0,0,1,0,0,,ramp,,,,,,,
RAND_m,,0,0,1,1,0,0,,rndblk_m,,,,,,,
RATELIMITER,,1,0,0,1,0,0,,ratelimiter,,,,,,,
READAU_f,,0,0,1,1,0,0,,readau,,,,,,,
READC_f,,0,0,1,1,0,0,,readc,,,,,,int(ScilabString[exprs] -> data[0][0]) > 0,
REGISTER,,1,0,1,1,0,0,,delay4,,,,,,,
RELATIONALOP,%s,2,0,0,1,0,0,<,relationalop,,,,,,,relationalformat(parameters[0])
RELAY_f,,2,0,2,1,0,0,,relay,ScilabString[exprs] -> data[0][0],,ScilabString[exprs] -> data[0][0],,,,
Resistor,%sΩ,0,1,0,0,1,0,10 m,resistor,,,,,,,format(parameters[0])
RFILE_f,,0,0,1,1,0,0,,readf,,,,,,int(ScilabString[exprs] -> data[0][0]) > 0,
RICC,,3,0,0,1,0,0,,ricc_m,,,,,,,
ROOTCOEF,,1,0,0,1,0,0,,root_coef,,,,,,,
SAMPHOLD_m,,1,0,1,1,0,0,,samphold4_m,,,,,,,
SampleCLK,,0,0,0,0,0,1,,sampleclk,,,,,,,
SATURATION,,1,0,0,1,0,0,,satur,,,,,,,
SAWTOOTH_f,,0,0,1,1,0,0,,sawtth,,,,,,,
SCALAR2VECTOR,,1,0,0,1,0,0,,scalar2vector,,,,,,,
scifunc_block_m,Function:<BR>%s,1,0,0,1,0,0,y1=sin(u1),cscope,,,,,,,parameters[10]
SELECT_m,,2,0,2,1,0,0,,selector_m,ScilabString[exprs] -> data[1][0],,ScilabString[exprs] -> data[1][0],,,,
SELF_SWITCH,,1,0,0,1,0,0,,csuper,,,,,,,
SHIFT,Arithmetic<BR>shift %s,1,0,0,1,0,0,0,shift_32_LA,,,,,,,parameters[1]
Sigbuilder,,0,0,0,1,0,1,,csuper,,,,,,,
SIGNUM,,1,0,0,1,0,0,,signum,,,,,,,
SINBLK_f,,1,0,0,1,0,0,,sinblk,,,,,,,
SineVoltage,%s V<BR>~ %s,0,1,0,0,1,0,"1,1",SineVoltage,,,,,,,"parameters[0],parameters[0]"
SOM_f,,3,0,0,1,0,0,,sum,,,,,,,
SourceP,,0,0,0,0,1,0,,Source,,,,,,,
SQRT,,1,0,0,1,0,0,,mat_sqrt,,,,,,,
SRFLIPFLOP,,2,0,0,2,0,0,,csuper,,,,,,,
STEP_FUNCTION,,0,0,0,1,0,0,,csuper,,,,,,,
SUBMAT,,1,0,0,1,0,0,,submat,,,,,,,
SUM_f,,3,0,0,1,0,0,,plusblk,,,,,,,
SUMMATION,,2,0,0,1,0,0,,summation,len(ScilabString[exprs] -> data[1][0]),,,,,,
SUPER_f,,1,0,0,1,0,0,,cscope,,,,,,,
Switch,,1,1,0,0,1,0,,Switch,,,,,,,
SWITCH_f,Static: %s,2,0,0,1,0,0,1,switchn,ScilabString[exprs] -> data[0][0],,,,,,parameters[1]
SWITCH2_m,,3,0,0,1,0,0,,switch2_m,,,,,,,
TANBLK_f,,1,0,0,1,0,0,,tanblk,,,,,,,
TCLSS,,2,0,1,1,0,0,,tcslti4,,,,,,,
TEXT_f,<BR>%s,0,0,0,0,0,0,Text,,,,,,,,parameters[0]
TIME_DELAY,,1,0,0,1,0,0,,time_delay,,,,,,,
TIME_f,,0,0,0,1,0,0,,timblk,,,,,,,
TKSCALE,,0,0,1,1,0,0,,tkscaleblk,,,,,,,
TOWS_c,To workspace<BR>%s [%s],1,0,1,0,0,0,"A,128",tows_c,,,(ScilabString[exprs] -> data[2][0]) == 0,,,,"parameters[1],parameters[0]"
TRASH_f,,1,0,1,0,0,0,,trash,,,,,,,
TrigFun,%s,1,0,0,1,0,0,sin,sin_blk,,,,,,,parameters[0]
VanneReglante,,1,1,0,0,1,0,,VanneReglante,,,,,,,
VARIABLE_DELAY,,2,0,0,1,0,0,,variable_delay,,,,,,,
VariableResistor,,1,1,0,0,1,0,,VariableResistor,,,,,,,
VirtualCLK0,,0,0,1,0,0,0,,vrtclk0,,,,,,,
VoltageSensor,,0,1,0,1,1,0,,VoltageSensor,,,,,,,
VsourceAC,%s V<BR>~ %s,0,1,0,0,1,0,"220,50",VsourceAC,,,,,,,"parameters[0],parameters[1]"
VVsourceAC,1 V<BR>~ %s,1,1,0,1,0,0,50,VVsourceAC,,,,,,,parameters[0]
WRITEAU_f,,1,0,1,0,0,0,,writeau,,,,,,,
WRITEC_f,,1,0,1,0,0,0,,writec,,,,,,,
ZCROSS_f,,1,0,0,0,0,1,,zcross,,,,,,,
