id,Block names,Initial Input Ports Explicit,Initial Input Ports Implicit,Initial Output Ports Explicit,Initial Output Ports Implicit,Initial Control Ports,Initial Command Ports,Initial Display Parameter,Variable Input Ports Explicit,Variable Input Ports Implicit,Variable Output Ports Explicit,Variable Output Ports Implicit,Variable Control ports,Variable Command Ports,Variable Display Parameter,P000,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019
184,CLKINV_f,0,0,0,0,0,1,1,0,0,0,0,0,1,n,Port Number,,,,,,,,,,,,,,,,,,,
171,CLKOUTV_f,0,0,0,0,1,0,1,0,0,0,0,1,0,n,Port Number,,,,,,,,,,,,,,,,,,,
38,CLKSOMV_f,0,0,0,0,3,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
185,CLOCK_c,0,0,0,0,0,1,,0,0,0,0,0,1,,Period,Initialisation Time,,,,,,,,,,,,,,,,,,
4,CLR,1,0,1,0,0,0,1/(1+s),1,0,1,0,0,0,num/den,Numerator,Denominator,,,,,,,,,,,,,,,,,,
5,CLSS,1,0,1,0,0,0,"xd = Ax+ Bu, y = Cx + Du",1,0,1,0,0,0,"xd = Ax+ Bu, y = Cx + Du",A matrix,B matrix,C matrix,D matrix,initial state,,,,,,,,,,,,,,,
172,CMAT3D,1,0,0,0,1,0,,1,0,0,0,1,0,,Bounds vector X,Bounds vector Y,ColorMap,Zmin,Zmax,,,,,,,,,,,,,,,
173,CMATVIEW,1,0,0,0,1,0,,1,0,0,0,1,0,,ColorMap,Minimum level range,Maximum level range,,,,,,,,,,,,,,,,,
174,CMSCOPE,2,0,0,0,1,0,,n,0,0,0,0/1,0,,Input ports size,Drawing colors or mark,Output window number,Output window position,Output window sizes,Ymin vector,Ymax vector,Refresh Period,Buffer size,Accept herited events,Name of scope,,,,,,,,,
186,CONST,0,0,1,0,0,0,1,0,0,1,0,0,0,n,Constant,,,,,,,,,,,,,,,,,,,
187,CONST_f,0,0,1,0,0,0,1,0,0,1,0,0,0,n,Constant,,,,,,,,,,,,,,,,,,,
188,CONST_m,0,0,1,0,0,0,1,0,0,1,0,0,0,n,Constant value,,,,,,,,,,,,,,,,,,,
104,ConstantVoltage,0,1,0,1,0,0,,1,1,1,1,0,0,,V(volt),,,,,,,,,,,,,,,,,,,
162,CONSTRAINT_c,1,0,1,0,0,0,x == 0,1,0,1,0,0,0,x == n,Initial guess value,,,,,,,,,,,,,,,,,,,
163,CONSTRAINT2_c,1,0,2,0,0,0,"x == 0,  x' == 0",1,0,2,0,0,0,"x == n,  x' == n",Initial guess value of state x,initial guess value of derivative x,"ld(1)=1: If x(i) is present in the feedback, else ld(i)=0",,,,,,,,,,,,,,,,,
127,CONVERT,1,0,1,0,0,0,Convert to,1,0,1,0,0,0,Convert to,"Input type (1:double, 3:int32, 4:int16, 5:int8,..)","Output type  (1:double, 3:int32, 4:int16, 5:int8,..)","Do on overflow( 0:Nothing, 1:Saturate, 2:Error)",,,,,,,,,,,,,,,,,
56,COSBLK_f,1,0,1,0,0,0,cos,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
189,Counter,0,0,1,0,1,0,Counter 0 --> 2,0,0,1,0,1,0,Counter n --> n,Minimum,Maximum,"Rule( 1:increment, 2:Decrement)",,,,,,,,,,,,,,,,,
175,CSCOPE,1,0,0,0,1,0,,1,0,0,0,1/0,0,,Color(>0) or mark(<0)vector(8 entries),Output window number,Output window position,Output window sizes,Ymin,Ymax,Refresh period,Buffer size,Accept herited events 0/1,Name of scope,,,,,,,,,,
176,CSCOPXY,2,0,0,0,1,0,"x, y",2,0,0,0,1,0,"x, y",Number of curves,color(>0) or mark(<0),line or mark size,Output window number,Output window position,Output window size,Xmin,Xmax,Ymin,Yaxm,Buffer size,,,,,,,,,
177,CSCOPXY3D,3,0,0,0,1,0,"x, y, z",3,0,0,0,1,0,"x, y, z",Number of curves,color(>0) or mark(<0),line or mark size,Output window number,Output window position,Output window size,Xmin and Xmax,Ymin and Ymax,Zmin and Zmax,Alpha and Theta,Buffer size,,,,,,,,,
76,CUMSUM,1,0,1,0,0,0,CUMSUM,1,0,1,0,0,0,CUMSUM,Datatype(1=real double 2=Complex),Sum along(0=the first non singleton dimension 1=Rows 2=Columns)  ,,,,,,,,,,,,,,,,,,
105,CurrentSensor,0,1,1,1,0,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
190,CURV_f,0,0,1,0,0,0,Curve,0,0,1,0,0,0,Curve,xmin,xmax,ymin,ymax,,,,,,,,,,,,,,,,
106,CVS,1,1,0,1,0,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
15,DEADBAND,1,0,1,0,0,0,,1,0,1,0,0,0,,End of dead band,Start of dead band,"zero crossing (0:no, 1:yes)",,,,,,,,,,,,,,,,,
221,DEBUG,0,0,0,0,0,0,"Debug : xcos_debug_gui(flag, block);",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
21,DELAY_f,1,0,1,0,0,0,Delay,1,0,1,0,0,0,Delay,Discretization time step,Register initial state,,,,,,,,,,,,,,,,,,
22,DELAYV_f,2,0,1,0,1,2,Variable delay,2,0,1,0,1,2,Variable delay,Number of inputs,Register initial condition,Max delay,,,,,,,,,,,,,,,,,
142,DEMUX,1,0,2,0,0,0,,1,0,n,0,0,0,,number of output ports or vector of sizes,,,,,,,,,,,,,,,,,,,
143,DEMUX_f,1,0,2,0,0,0,,1,0,n,0,0,0,,number of output ports or vector of sizes,,,,,,,,,,,,,,,,,,,
6,DERIV,1,0,1,0,0,0,du/dt,1,0,1,0,0,0,du/dt,,,,,,,,,,,,,,,,,,,,
128,DFLIPFLOP,3,0,2,0,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
164,DIFF_f,1,0,1,0,0,0,S,1,0,1,0,0,0,S,Initial state,Initial Derivative,,,,,,,,,,,,,,,,,,
107,Diode,0,1,0,1,0,0,,1,1,1,1,0,0,,Saturation current (A),Voltage equivalent to temperature (Volt),Max exponent for linear continuation,R (ohm),,,,,,,,,,,,,,,,
129,DLATCH,2,0,2,0,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
23,DLR,1,0,1,0,1,0,1/1+z,1,0,1,0,1,0,n/1+z,Numerator (z),Denominator (z),,,,,,,,,,,,,,,,,,
24,DLRADAPT_f,2,0,1,0,1,0,"N (z,p)/D (z,p)",2,0,1,0,1,0,"N (z,p)/D (z,p)",Vector of p mesh points,Numerator roots (one line for each mesh),Denominator roots (one line for each mesh),Vector of gain at mesh points,past inputs (Num degree values),past outputs (Den degree values),,,,,,,,,,,,,,
25,DLSS,1,0,1,0,1,0,"x = Ax+Bu, y = Cx+Du",1,0,1,0,1,0,"x = Ax+Bu, y = Cx+Du",A matrix,B matrix,C matrix,D matrix,Initial state,,,,,,,,,,,,,,,
26,DOLLAR,1,0,1,0,1,0,1/z,1,0,1,0,0,0,1/z,initial condition,"Inherit (no:0, yes:1)",,,,,,,,,,,,,,,,,,
27,DOLLAR_f,1,0,1,0,1,0,1/z,1,0,1,0,0,0,1/z,initial condition,"Inherit (no:0, yes:1)",,,,,,,,,,,,,,,,,,
28,DOLLAR_m,1,0,1,0,1,0,1/z,1,0,1,0,0,0,1/z,initial condition,"Inherit (no:0, yes:1)",,,,,,,,,,,,,,,,,,
39,EDGE_TRIGGER,1,0,0,0,0,1,Edge tigger,1,0,0,0,0,1,Edge tigger,"rising(1), falling(-1), both(0)",,,,,,,,,,,,,,,,,,,
40,END_c,0,0,0,0,1,1,END,0,0,0,0,1,1,END,Final simulation time,,,,,,,,,,,,,,,,,,,
41,ENDBLK,0,0,0,0,0,0,END,0,0,0,0,0,0,END,Final simulation time,,,,,,,,,,,,,,,,,,,
42,ESELECT_f,1,0,0,0,1,2,Event select,1,0,0,0,0/1,n,Event select,number of output event ports,"Inherit (1:no, 0:yes)","zero-crossing (0:no, 1:yes)",,,,,,,,,,,,,,,,,
43,EVTDLY_c,0,0,0,0,1,1,Delay: 0.1,0,0,0,0,1,1,Delay: n,Delay,Date of initial output event,,,,,,,,,,,,,,,,,,
44,EVTGEN_f,0,0,0,0,0,1,Event at time 0,0,0,0,0,0,1,Event at time n,Event Time,,,,,,,,,,,,,,,,,,,
45,EVTVARDLY,1,0,0,0,1,1,Event delay,1,0,0,0,1,1,Event delay,Initial event firing time (<0 if absent),,,,,,,,,,,,,,,,,,,
57,EXPBLK_m,1,0,1,0,0,0,a^u,1,0,1,0,0,0,a^u,a (>0),,,,,,,,,,,,,,,,,,,
222,EXPRESSION,2,0,1,0,0,0,Expression : (u1>0)*sin(u2)^2,,0,,0,,,,number of inputs,scilab expression,"use zero-crossing (0:no, 1 yes)",,,,,,,,,,,,,,,,,
77,EXTRACT,1,0,1,0,0,0,EXTRACT,1,0,1,0,0,0,EXTRACT,Datatype (1=real double 2=Complex),Lines to extract,Columns to extract,,,,,,,,,,,,,,,,,
46,Extract_Activation,1,0,0,0,0,1,Extract Activation,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
130,EXTRACTBITS,1,0,1,0,0,0,Extract Bits 1,1,0,1,0,0,0,Extract Bits n,"Data Type (3:int32, 4:int16, 5:int8, ...)",Bits to extract,Number of Bits or Index of Bit,"Treat Bit Field as an Integer (0:No, 1:Yes)",,,,,,,,,,,,,,,,
144,EXTRACTOR,1,0,1,0,0,0,Extractor,1,0,1,0,0,0,Extractor,indices to extract,,,,,,,,,,,,,,,,,,,
78,EXTTRI,1,0,1,0,0,0,Tri/Diag Extraction,1,0,1,0,0,0,Tri/Diag Extraction,Datatype (1=real double 2=Complex),extraction type (1=lower 2=upper 3=diagonal),,,,,,,,,,,,,,,,,,
210,Flowmeter,0,1,1,1,0,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
223,fortran_block,1,0,1,0,0,0,Fortran block: forty,1,0,1,0,0,0,Fortran block: forty,input ports sizes,output port sizes,System parameters vector,function name,,,,,,,,,,,,,,,,
47,freq_div,0,0,0,0,1,1,Frequency division,0,0,0,0,1,1,Frequency division,Phase (0 to division factor -1),Division factor,,,,,,,,,,,,,,,,,,
145,FROM,0,0,1,0,0,0,A,0,0,1,0,0,0,,Tag,,,,,,,,,,,,,,,,,,,
146,FROMMO,0,0,0,1,0,0,A,0,0,1,1,0,0,,Tag,,,,,,,,,,,,,,,,,,,
191,FROMWSB,0,0,1,0,0,0,From workspace,0,0,1,0,0,0,From workspace,Variable name,Interpolation Method,"Enable zero crossing (0:No, 1:Yes)?","Output at end (0:Zero, 1:Hold, 2:Repeat)",,,,,,,,,,,,,,,,
58,GAIN_f,1,0,1,0,0,0,1,1,0,1,0,0,0,n,Gain,,,,,,,,,,,,,,,,,,,
59,GAINBLK,1,0,1,0,0,0,1,1,0,1,0,0,0,n,Gain,Do On Overflow (0=Nothing 1=Saturate 2=Error),,,,,,,,,,,,,,,,,,
60,GAINBLK_f,1,0,1,0,0,0,1,1,0,1,0,0,0,n,Gain,,,,,,,,,,,,,,,,,,,
136,GENERAL_f,1,0,0,0,0,1,GENERAL,1,0,0,0,0,n,GENERAL,Input size,Number of event output,,,,,,,,,,,,,,,,,,
224,generic_block3,1,0,1,0,0,0,native block : sinblk,1,0,1,0,0,0,native block : sinblk,Simulation function,"Function type (0,1,2,..)",Input ports sizes,Input ports type,Output port sizes,Output ports type,Input event ports sizes,Output events ports sizes,Initial continuous state,Initial discrete state,Initial object state,Real parameters vector,Integer parameters vector,Object parameters list,Number of modes,Number of zero crossings,Initial firing vector (<0 for no firing),Direct feedthrough (y or n),Time dependence (y or n),
192,GENSIN_f,0,0,1,0,0,0,,0,0,1,0,0,0,,Magnitude,Frequency (rad/s),Phase (rad),,,,,,,,,,,,,,,,,
193,GENSQR_f,0,0,1,0,1,0,,0,0,1,0,1,0,,Amplitude,,,,,,,,,,,,,,,,,,,
147,GOTO,1,0,0,0,0,0,A,1,0,0,0,0,0,,Tag,Tag Visibility (1=Local 2=scoped 3=global),,,,,,,,,,,,,,,,,,
148,GOTOMO,0,1,0,0,0,0,A,1,1,0,0,0,0,,Tag,Tag Visibility (1=Local 2=scoped 3=global),,,,,,,,,,,,,,,,,,
149,GotoTagVisibility,0,0,0,0,0,0,A,0,0,0,0,0,0,,GotoTag,,,,,,,,,,,,,,,,,,,
150,GotoTagVisibilityMO,0,0,0,0,0,0,A,0,0,0,0,0,0,,GotoTag,,,,,,,,,,,,,,,,,,,
108,Ground,0,1,0,0,0,0,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
109,Gyrator,0,2,0,2,0,0,,2,2,2,2,0,0,,G1,G2,,,,,,,,,,,,,,,,,,
48,HALT_f,0,0,0,0,1,0,HALT,0,0,0,0,1,0,HALT,State on halt,,,,,,,,,,,,,,,,,,,
16,HYSTHERESIS,1,0,1,0,0,0,,1,0,1,0,0,0,,switch on at,switch off at,output when on,output when off,use zero crossing,,,,,,,,,,,,,,,
110,IdealTransformer,0,2,0,2,0,0,,2,2,2,2,0,0,,N,,,,,,,,,,,,,,,,,,,
49,IFTHEL_f,1,0,0,0,1,2,if n>0 then else,1,0,0,0,0/1,2,,"Inherit(1:yes, 0:no)","use zero crossing(0:no , 1:yes)",,,,,,,,,,,,,,,,,,
194,IN_f,0,0,1,0,0,0,1,0,0,1,0,0,0,n,Port number,"Output size ([-1,-2] for inherit)",Output type (-1 for inherit),,,,,,,,,,,,,,,,,
111,Inductor,0,1,0,1,0,0,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
195,INIMPL_f,0,0,0,1,0,0,1,0,0,1,1,0,0,n,Port Number,,,,,,,,,,,,,,,,,,,
7,INTEGRAL_f,1,0,1,0,0,0,1/s,1,0,1,0,0,0,1/s,Initial state,,,,,,,,,,,,,,,,,,,
8,INTEGRAL_m,1,0,1,0,0,0,,1/2,0,1,0,0/1,0,,Initial condition,with re-initialization,with saturation,Upper limit,Lower limit,,,,,,,,,,,,,,,
131,INTMUL,2,0,1,0,0,0,INTMUL,2,0,1,0,0,0,INTMUL,"Data Type (3:int32, 4:int16, 5:int8,..)","Do on Overflow (0:Nothing, 1:Saturate, 2:Error)",,,,,,,,,,,,,,,,,,
31,INTRP2BLK_f,2,0,1,0,0,0,Interp 2,2,0,1,0,0,0,Interp 2,X coord,Y coord,Z values,,,,,,,,,,,,,,,,,
32,INTRPLBLK_f,1,0,1,0,0,0,Interp,1,0,1,0,0,0,Interp,X coord,Y coord,,,,,,,,,,,,,,,,,,
61,INVBLK,1,0,1,0,0,0,1/u,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
151,ISELECT_m,1,0,2,0,2,0,Selector,1,0,2/n,0,2/n,0,Selector,Datatype (1=real double 2=Complex 3=int32...),number of outputs,initial connected output,,,,,,,,,,,,,,,,,
132,JKFLIPFLOP,3,0,2,0,0,0,,3,0,2,0,0,0,,Initial Value,,,,,,,,,,,,,,,,,,,
62,LOGBLK_f,1,0,1,0,0,0,LOG,1,0,1,0,0,0,LOG,Basis(>1),,,,,,,,,,,,,,,,,,,
133,LOGIC,2,0,1,0,1,0,LOGIC,2,0,1,0,0/1,0,LOGIC,Truth Table (matrix of outputs),"Accepts Inherited Events (0:No, 1:Yes)",,,,,,,,,,,,,,,,,,
1,LOGICAL_OP,2,0,1,0,0,0,AND,n,0,1,0,0,0,AND / OR / NAND / NOR / XOR / NOT,number of inputs,"Operator : AND(0), OR(1), NAND(2), NOR(3), XOR(4), NOT(5)",Datatype (1=double 3=int32..),Bitwise Rule (0=No 1=yes),,,,,,,,,,,,,,,,
33,LOOKUP_f,1,0,1,0,0,0,,1,0,1,0,0,0,,xmin,xmax,ymin,ymax,,,,,,,,,,,,,,,,
50,M_freq,0,0,0,0,1,3,Multiple frequency,0,0,0,0,1,3,Multiple frequency,Sample time,Offset,,,,,,,,,,,,,,,,,,
152,M_SWITCH,3,0,1,0,0,0,,n+1,0,1,0,0,0,,number of inputs,"zero base indexing (0), otherwise 1","rounding rule : int(0),round (1), ceil (2), floor (3)  ",,,,,,,,,,,,,,,,,
79,MATBKSL,2,0,1,0,0,0,A\B,2,0,1,0,0,0,A\B,"Datatype (1=real double, 2=Complex)",,,,,,,,,,,,,,,,,,,
80,MATCATH,2,0,1,0,0,0,Horiz cat,n,0,1,0,0,0,Horiz Cat,number of inputs,,,,,,,,,,,,,,,,,,,
81,MATCATV,2,0,1,0,0,0,Vert Cat,n,0,1,0,0,0,Horiz Cat,number of inputs,,,,,,,,,,,,,,,,,,,
82,MATDET,1,0,1,0,0,0,DET,1,0,1,0,0,0,DET,"Datatype (1=real double, 2=Complex)",,,,,,,,,,,,,,,,,,,
83,MATDIAG,1,0,1,0,0,0,DIAG,1,0,1,0,0,0,DIAG,"Datatype (1=real double, 2=Complex)",,,,,,,,,,,,,,,,,,,
84,MATDIV,2,0,1,0,0,0,A/B,2,0,1,0,0,0,A/B,"Datatype (1=real double, 2=Complex)",,,,,,,,,,,,,,,,,,,
85,MATEIG,1,0,1,0,0,0,EIG,1,0,1/2,0,0,0,EIG,"Datatype (1=real double, 2=Complex)","decomposition type( 1=eig values, 2=eig values+eig vectors)",,,,,,,,,,,,,,,,,,
86,MATEXPM,1,0,1,0,0,0,EXPM,1,0,1,0,0,0,EXPM,"Datatype (1=real double, 2=Complex)",,,,,,,,,,,,,,,,,,,
87,MATINV,1,0,1,0,0,0,INV,1,0,1,0,0,0,INV,"Datatype (1=real double, 2=Complex)",,,,,,,,,,,,,,,,,,,
88,MATLU,1,0,2,0,0,0,LU,1,0,2,0,0,0,LU,"Datatype (1=real double, 2=Complex)",,,,,,,,,,,,,,,,,,,
89,MATMAGPHI,1,0,2,0,0,0,Mag & Phi,1/2,0,1/2,0,0,0,Mag & Phi,decomposition type (1=Complex2MAG&PHI 2=MAG&PHI2Complex),,,,,,,,,,,,,,,,,,,
90,MATMUL,2,0,1,0,0,0,MATMUL,2,0,1,0,0,0,MATMUL,"Datatype (1=real double, 2=Complex, 3=int32)",Multiplication rule,"Do on overflow(0=Nothing, 1=Saturate, 2=Error)",,,,,,,,,,,,,,,,,
91,MATPINV,1,0,1,0,0,0,PINV,1,0,1,0,0,0,PINV,"Datatype (1=real double, 2=Complex)",,,,,,,,,,,,,,,,,,,
92,MATRESH,1,0,1,0,0,0,RESHAPE,1,0,1,0,0,0,RESHAPE,"Datatype (1=real double, 2=Complex)",Input size,output size desired,,,,,,,,,,,,,,,,,
93,MATSING,1,0,1,0,0,0,SVD,1,0,1/3,0,0,0,SVD,"Datatype (1=real double, 2=Complex)","decomposition type (1=singular values, 2=sing values+matrix U&V)",,,,,,,,,,,,,,,,,,
94,MATSUM,1,0,1,0,0,0,MATSUM,1,0,1,0,0,0,MATSUM,"Datatype (1=real double, 2=Complex)","Sum along (0=all, 1=lines, 2=Columns)",,,,,,,,,,,,,,,,,,
95,MATTRAN,1,0,1,0,0,0,MATTRAN,1,0,1,0,0,0,MATTRAN,"Datatype (1=real double, 2=Complex)","rule( 1=, 2='",,,,,,,,,,,,,,,,,,
96,MATZCONJ,1,0,1,0,0,0,CONJ,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
97,MATZREIM,1,0,2,0,0,0,Re & Im,1/2,0,1/2,0,0,0,Re & Im,decomposition type (1=Complex2Real&Imag 2=Real&Imag2Complex),,,,,,,,,,,,,,,,,,,
63,MAX_f,1,0,1,0,0,0,MAX,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
64,MAXMIN,1,0,1,0,0,0,MAX,1/2,0,1,0,0,0,MAX/MIN,Min(1) or Max(2),Number of input vectors(1 or 2),"zero crossing (1:yes, 0:no)",,,,,,,,,,,,,,,,,
225,MBLOCK,0,1,1,1,0,0,Modelica generic,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
51,MCLOCK_f,0,0,0,0,0,2,2freq clock f/n f,0,0,0,0,0,2,2freq clock f/n f,basic period (1/f),multiply by (n),,,,,,,,,,,,,,,,,,
52,MFCLCK_f,0,0,0,0,1,2,M. freq clock,0,0,0,0,1,2,M. freq clock,basic period (1/f),multiply by (n),,,,,,,,,,,,,,,,,,
65,MIN_f,1,0,1,0,0,0,MIN,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
196,Modulo_Count,0,0,1,0,1,0,Counter Modulo 3,0,0,1,0,1,0,Counter Modulo n,Initial State (zero or positive number),Upper Limit (positive number),,,,,,,,,,,,,,,,,,
153,MUX,2,0,1,0,0,0,,2-31,0,1,0,0,0,,number of input ports or vector of sizes,,,,,,,,,,,,,,,,,,,
154,MUX_f,2,0,1,0,0,0,,2-8,0,1,0,0,0,,number of input ports or vector of sizes,,,,,,,,,,,,,,,,,,,
137,NEGTOPOS_f,1,0,0,0,0,1,- to +,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
112,NMOS,0,1,0,3,0,0,,1,1,3,3,0,0,,Width [m],Length [m],Transconductance parameter [A/(V*V)],Zero bias threshold voltage [V],Bulk threshold parameter,Reduction of pinch-off region,Narrowing of channel [m],Shortening of channel [m],Drain-Source-Resistance [Ohm],,,,,,,,,,,
113,NPN,0,1,0,2,0,0,,1,1,2,2,0,0,,Bf : Forward beta,Br : Reverse beta,ls : Transport saturation current,"Vak : Early voltage (inverse), 1/Volt",Tauf : Ideal forward transit time,Taur : Ideal reverse transit time,Ccs : Collector-substrat (ground) cap.,Cje : Base-emitter zero bias depletion cap.,Cjc : Base coll. zero bias depletion cap.,Phie : Base-emitter diffusion voltage,Me : Base emmiter gradation exponent,Phic : Base collector diffusion voltage,Mc : Base-collector gradation exponent,Gbc : Base collector conductance,Gbe : Base emitter conductance,Vt : Voltage equivalent of temperature,"EminMax : If x> EminMax, the exp(x) function is linearized",,,
